VENUE,CATEGORY,TOP_LEVEL_CATEGORY,NEIGHBORHOOD,NEIGHBORHOOD_LAT,NEIGHBORHOOD_LNG
45,Annex Theatre,Indie Theater,Arts & Entertainment,Capitol Hill Neighborhood,47.61523365,-122.32079886
46,Neumos,Nightclub,Arts & Entertainment,Capitol Hill Neighborhood,47.61523365,-122.32079886
0,Wisteria Design Group,Art Gallery,Arts & Entertainment,Central District,47.61916903,-122.30255012
1,Stallman Studio Gallery,Art Gallery,Arts & Entertainment,Central District,47.61916903,-122.30255012
2,The Mad Valley Massacre House,Concert Hall,Arts & Entertainment,Central District,47.61916903,-122.30255012
3,Pyschic Boutique,General Entertainment,Arts & Entertainment,Central District,47.61916903,-122.30255012
0,Rachel the Pig at Pike Place Market,Outdoor Sculpture,Arts & Entertainment,Central Business District,47.60974685,-122.33779322
1,Gum Wall,Monument / Landmark,Arts & Entertainment,Central Business District,47.60974685,-122.33779322
2,Benaroya Hall,Concert Hall,Arts & Entertainment,Central Business District,47.60974685,-122.33779322
3,Modernist Cuisine Gallery,Art Gallery,Arts & Entertainment,Central Business District,47.60974685,-122.33779322
4,Savor Seattle Food Tours,General Travel,Arts & Entertainment,Central Business District,47.60974685,-122.33779322
5,Hard Rock Cafe Seattle,Theme Restaurant,Arts & Entertainment,Central Business District,47.60974685,-122.33779322
6,William Traver Gallery,Art Gallery,Arts & Entertainment,Central Business District,47.60974685,-122.33779322
7,Musicquarium,Rock Club,Arts & Entertainment,Central Business District,47.60974685,-122.33779322
8,Octave 9,Community Center,Arts & Entertainment,Central Business District,47.60974685,-122.33779322
9,Carrousel,Theme Park Ride / Attraction,Arts & Entertainment,Central Business District,47.60974685,-122.33779322
10,Walkabout The Paintings Of Dorothy Napangardi,Exhibit,Arts & Entertainment,Central Business District,47.60974685,-122.33779322
11,australian aboriginal art at the seattle art museum,Art Gallery,Arts & Entertainment,Central Business District,47.60974685,-122.33779322
12,Coliseum Theater,Historic Site,Arts & Entertainment,Central Business District,47.60974685,-122.33779322
13,Seattle Art Museum Store,Gift Shop,Arts & Entertainment,Central Business District,47.60974685,-122.33779322
14,Zebraclub,Clothing Store,Arts & Entertainment,Central Business District,47.60974685,-122.33779322
15,Eat Seattle,Tour Provider,Arts & Entertainment,Central Business District,47.60974685,-122.33779322
16,Triple Door,Music Venue,Arts & Entertainment,Central Business District,47.60974685,-122.33779322
17,Ethnic Art Gallery,Art Gallery,Arts & Entertainment,Central Business District,47.60974685,-122.33779322
18,Northwest Tribal Art,Art Gallery,Arts & Entertainment,Central Business District,47.60974685,-122.33779322
19,Market Ghost Tours,Tour Provider,Arts & Entertainment,Central Business District,47.60974685,-122.33779322
20,Pike Place Gifts,General Entertainment,Arts & Entertainment,Central Business District,47.60974685,-122.33779322
21,Unexpected Productions,Comedy Club,Arts & Entertainment,Central Business District,47.60974685,-122.33779322
22,Bigfoot Statue,Outdoor Sculpture,Arts & Entertainment,Central Business District,47.60974685,-122.33779322
23,Art Lending Library,Art Gallery,Arts & Entertainment,Central Business District,47.60974685,-122.33779322
24,SAM Members Only Lounge,Art Museum,Arts & Entertainment,Central Business District,47.60974685,-122.33779322
25,Final Fantasy XIV Launch Event,General Entertainment,Arts & Entertainment,Central Business District,47.60974685,-122.33779322
